filename,gender,nudenet_labels
000887a56e3a20774f9681291cd06de0.jpg,female_soft,ARMPITS_EXPOSED|FACE_FEMALE
00531e34a8ace1219e2b301ffb4ea802.jpg,female_soft,ARMPITS_EXPOSED|BELLY_EXPOSED|FACE_FEMALE|FEMALE_BREAST_COVERED
00c0a6e4280248b9630edccee0abe3e3.jpg,female_soft,FACE_FEMALE
00c49bccaedb3745cb6647716c069e65.jpg,none,BUTTOCKS_EXPOSED|FEET_COVERED
00e1b67540da7bbf01fd34ac488e0b54.jpg,female_soft,FACE_FEMALE|FEMALE_BREAST_COVERED
00fdc38b34d085d43070b2ac57096719.jpg,none,BELLY_EXPOSED|FEMALE_BREAST_COVERED
01158600a27e864e8f8975f91c6f7f1b.jpg,none,ARMPITS_EXPOSED|BUTTOCKS_EXPOSED|FEET_COVERED
0116ff1b1bd42c10290a8d238fcf1a83.jpg,female_soft,ARMPITS_EXPOSED|BELLY_EXPOSED|FACE_FEMALE|FEMALE_BREAST_COVERED|FEMALE_GENITALIA_COVERED
012d087c4de1e7471732a6360cb322e1.jpg,none,ARMPITS_EXPOSED|BELLY_EXPOSED|FEET_EXPOSED|FEMALE_BREAST_COVERED|FEMALE_GENITALIA_COVERED
015f1719b791730c54ce73450bc0ca56.jpg,female_soft,ARMPITS_EXPOSED|BELLY_EXPOSED|FACE_FEMALE|FEMALE_BREAST_COVERED|FEMALE_GENITALIA_COVERED
01bf06285d2cfaa1d5d64393ddcd1a99.jpg,female,BELLY_EXPOSED|FACE_FEMALE|FEMALE_BREAST_COVERED|FEMALE_BREAST_EXPOSED
01c098b0c45f7c3f78b497e2f259fe0a.jpg,none,FEET_EXPOSED
01f31803fb8e27aeb19b9987e497882b.jpg,female_soft,ARMPITS_EXPOSED|FACE_FEMALE|FEMALE_BREAST_COVERED
01fbe65aee20ac4c921837143e935d64.jpg,female,ARMPITS_EXPOSED|FACE_FEMALE|FEET_EXPOSED|FEMALE_BREAST_EXPOSED
0200152d2e6135c6f177d4f5a7b423c0.jpg,none,FEET_COVERED|FEMALE_BREAST_COVERED
022f8305cd53b4e65902b588393ba6d6.jpg,female,FEMALE_BREAST_EXPOSED
02ea6aa9729f80a42579669c73d88cd2.jpg,female_soft,ARMPITS_EXPOSED|BELLY_COVERED|FACE_FEMALE|FEMALE_BREAST_COVERED|FEMALE_GENITALIA_COVERED
02f1f8076abe84f0d4754591d3f8064f.jpg,female,BELLY_EXPOSED|FEMALE_BREAST_COVERED|FEMALE_GENITALIA_COVERED|FEMALE_GENITALIA_EXPOSED
02fc80ace57fdd19bbb7693316b3c266.jpg,none,BUTTOCKS_EXPOSED
03407f1f42ef2c2dc83c6da0ff071311.jpg,none,
0358476128e4eaa2f4cc33f497a9139d.jpg,none,FEMALE_GENITALIA_COVERED
0370acc36ea3533becea347b8437b971.jpg,none,
